,class,title_punct_count,title_token_count,title_text_length,text_punct_count,text_token_count,text_text_length
1515,0,20,18,101,476,433,2435
21733,0,27,23,140,294,224,1557
17344,1,11,12,69,317,286,1782
1641,0,14,13,67,375,352,1932
6736,1,10,8,53,317,257,1501
4498,1,17,12,69,1287,1133,6799
17009,0,14,11,78,114,109,593
22470,0,16,12,68,247,224,1288
15371,1,9,10,68,415,361,2155
15311,0,16,14,80,27,25,118
17178,1,7,8,51,275,242,1566
877,1,9,8,57,452,408,2643
11281,1,12,13,76,529,458,2578
4718,1,7,8,61,367,309,1955
8679,1,14,12,79,1296,1139,6561
17675,1,8,9,54,549,487,2884
10184,1,12,13,82,394,341,2030
9870,1,13,12,65,444,393,2551
6794,0,21,17,95,451,417,2342
3436,0,13,14,79,470,395,2377
8783,1,10,10,66,449,383,2261
3735,0,14,14,73,395,365,2013
15986,1,9,10,54,333,290,1673
19203,0,18,17,96,130,110,613
4414,0,19,16,80,311,283,1369
14340,0,11,9,45,672,593,3281
7900,0,20,19,93,534,460,2592
19397,1,9,10,56,823,737,4332
12918,1,9,10,49,1547,1377,7818
11988,0,16,12,74,1,1,1
10986,1,7,8,62,138,115,687
12722,0,11,9,58,316,284,1513
21625,0,12,12,71,725,658,3957
3138,1,8,8,62,408,360,2253
18796,0,24,18,114,400,365,1983
6287,0,15,12,86,365,335,1990
16519,1,14,14,76,101,88,509
20472,0,9,7,48,25,24,126
2111,0,18,17,95,412,371,2126
22707,0,17,12,73,231,200,1188
14587,1,11,11,73,449,400,2361
542,1,17,15,79,833,737,4526
7763,0,20,16,85,565,520,3039
726,0,15,13,78,377,348,1980
17781,1,13,11,51,107,97,541
8372,1,11,11,63,312,264,1581
21054,0,13,14,86,374,338,1904
12361,0,22,19,105,141,101,714
5156,0,12,12,69,475,437,2413
19491,0,19,17,116,244,227,1233
18496,0,26,19,146,607,539,3051
10530,1,9,10,63,575,490,2997
8227,0,15,15,89,570,522,2867
16735,0,16,15,93,31,25,123
20943,1,13,12,73,180,162,903
19114,0,25,22,151,759,696,4061
18085,0,16,15,108,987,800,4834
21388,0,19,17,114,508,451,2726
5456,1,14,11,77,157,131,831
1461,1,13,13,86,944,836,5045
9911,1,9,10,66,264,233,1364
18418,1,9,10,55,420,381,2263
15913,1,8,9,59,50,43,271
8516,0,21,19,101,483,438,2615
6544,0,13,14,82,676,639,3914
4449,1,10,11,65,632,558,3425
5027,1,7,8,51,1287,1144,6859
13219,0,29,28,149,495,461,2519
7086,0,18,16,102,460,415,2131
11223,0,27,24,122,177,165,886
8964,0,14,15,73,1003,922,5422
8601,0,14,12,77,392,359,2017
695,1,12,11,71,452,400,2509
18044,0,19,18,101,309,284,1624
1089,1,14,12,64,97,81,517
8614,0,16,17,90,581,527,2930
6290,0,19,18,96,301,273,1406
144,0,21,19,96,294,266,1392
11284,1,12,11,64,331,287,1703
14145,1,12,11,67,395,339,2004
1075,1,13,11,61,123,102,568
16002,1,9,10,69,860,789,4676
20896,1,8,9,56,147,128,758
14509,0,15,16,96,676,580,3637
1438,0,14,14,86,451,420,2472
12694,0,21,19,116,475,443,2637
18114,1,11,11,70,141,127,740
3632,1,12,12,73,731,627,3665
11958,1,11,11,76,530,476,2868
12112,0,23,22,126,257,232,1375
6698,0,16,14,82,656,599,3382
10509,0,18,15,101,432,398,2307
4896,0,17,16,89,325,299,1681
3036,0,9,10,67,385,367,2188
15888,0,10,10,49,469,435,2488
872,0,16,16,102,484,439,2709
20825,1,13,13,80,490,439,2609
22225,0,15,14,89,566,513,3143
1830,1,10,11,66,727,638,3997
11875,0,11,8,43,1,1,1
8500,1,12,10,59,170,142,871
3662,0,18,16,80,380,335,1758
13042,1,9,8,55,251,226,1362
6236,0,13,13,77,445,419,2395
7742,0,23,20,113,481,441,2699
1009,1,11,11,71,388,341,1996
20931,1,6,7,44,177,153,922
20846,1,9,9,67,367,326,2010
6115,1,12,13,70,113,97,561
11060,0,20,18,117,274,258,1475
13255,0,19,19,122,379,328,1817
9566,1,10,11,63,426,363,2101
12840,1,12,10,68,76,61,395
4293,1,15,14,80,86,75,438
9358,0,19,1,145,19,1,145
17369,0,18,16,111,187,172,1065
18956,0,19,15,86,149,142,729
13128,0,27,23,139,533,488,2729
12267,0,25,24,155,348,311,1738
20601,0,25,24,146,1889,1704,10093
22096,0,13,12,69,657,593,3522
5216,0,11,10,57,584,528,2973
4782,0,17,16,97,346,303,1736
18763,0,15,15,82,626,576,3419
13698,1,9,10,59,251,226,1318
11087,1,11,10,71,144,126,774
3458,1,13,11,67,346,291,1819
9003,0,14,14,90,1474,1311,7761
10051,1,10,8,59,1016,879,5571
7270,1,13,13,72,526,452,2724
17140,0,19,19,104,233,210,1244
20194,1,10,11,60,242,218,1244
15176,0,29,24,137,136,128,722
8658,0,11,12,77,489,440,2507
14679,0,16,15,92,218,198,1261
18977,1,11,8,55,437,401,2294
22778,0,15,13,81,3410,3100,18328
12996,0,20,16,98,855,785,4284
16249,1,7,8,52,330,301,1734
19706,0,29,24,159,83,65,447
7801,0,18,18,89,521,480,2906
2726,1,11,10,62,472,421,2713
10489,0,28,21,122,1197,1069,5750
4709,1,8,9,57,77,68,409
4848,0,8,9,55,440,404,2373
18852,1,10,9,52,368,324,1930
20630,1,13,12,70,123,106,670
20238,1,11,10,63,614,541,3075
12943,1,14,11,86,80,68,419
9996,0,24,18,104,249,202,1192
13946,1,10,11,64,52,44,261
11514,0,21,21,134,493,438,2816
5409,0,13,14,72,374,352,2038
12330,1,10,11,65,90,77,469
8058,0,20,17,98,464,434,2460
13896,0,40,30,179,423,386,2102
16958,0,15,14,79,1109,1013,5778
21842,0,24,22,132,1513,1370,7678
17764,1,10,11,68,576,513,3149
22292,0,14,14,93,826,757,4590
13175,0,11,12,65,198,182,1122
3279,1,12,12,78,280,242,1459
3671,1,11,11,68,353,311,1860
1212,0,16,17,93,394,368,2104
12978,1,16,12,75,558,504,2865
13979,0,14,14,86,179,151,813
15366,1,10,11,59,444,409,2371
11866,1,10,10,73,1451,1271,7710
12704,0,14,12,75,305,280,1569
20418,1,8,9,58,246,213,1293
8464,1,10,10,69,413,371,2194
17473,0,33,30,150,1684,1522,8241
15845,0,25,22,137,704,652,3855
932,1,9,10,72,619,529,3315
4990,0,19,15,85,603,500,2907
3817,0,18,17,85,529,485,2795
19550,1,10,9,64,291,259,1504
3572,0,13,14,71,416,383,2319
7725,0,15,15,90,282,260,1467
12815,0,18,15,91,398,362,2016
18862,0,28,22,113,435,394,2079
7877,0,11,12,56,425,395,2234
1540,1,13,11,63,468,410,2533
15378,1,12,11,59,110,95,557
14218,1,11,12,62,1143,1025,5989
20799,1,12,11,68,312,272,1624
11310,1,10,9,55,393,351,2085
9043,0,16,15,91,797,719,4182
2226,1,10,11,61,966,833,5105
16045,0,28,24,142,255,208,1293
18112,1,9,10,63,502,447,2644
19715,1,19,10,71,231,153,987
9906,0,26,22,132,226,190,1042
3629,0,15,14,82,477,427,2518
1230,0,11,12,77,572,530,3152
5610,0,17,17,89,333,303,1624
16906,1,11,12,69,457,412,2382
6267,0,21,19,92,623,567,2964
3090,0,17,17,93,576,508,2858
12340,1,10,9,56,68,62,368
4726,0,14,12,85,362,335,1906
2652,0,16,16,94,779,691,3934
16098,0,20,17,97,596,549,2814
22793,0,17,14,78,774,698,3980
20381,0,28,20,127,393,357,2068
16310,1,9,9,56,87,75,454
15549,0,17,12,77,550,506,2782
19278,1,12,10,65,1130,1010,5737
10005,1,10,8,48,454,385,2336
8514,0,19,15,82,448,409,2160
1948,1,7,8,56,401,346,2222
17379,0,14,14,100,258,237,1440
23002,0,7,8,47,567,496,2922
9996,1,13,10,63,1248,1076,6363
14408,0,13,14,80,278,259,1433
6639,0,21,19,99,723,631,3562
4620,1,13,11,61,111,99,591
8568,1,8,8,55,147,126,800
22232,0,19,13,81,432,361,2051
16353,1,11,10,75,229,198,1275
4905,0,12,12,78,777,694,3739
10476,1,13,13,73,377,325,1909
10736,0,14,12,94,527,488,2986
12089,1,13,11,69,351,311,1791
20517,0,19,19,105,507,476,2705
20414,0,22,18,121,452,415,2301
6905,0,17,16,82,478,435,2365
15225,1,10,10,56,1309,1163,6648
12141,0,11,10,76,1,1,1
17982,0,17,15,92,614,509,3190
649,1,10,11,74,138,120,796
6394,1,8,8,52,2216,1911,11853
17160,0,19,20,113,438,397,2155
19985,1,12,12,72,81,71,409
16762,1,12,12,68,418,371,2130
11645,1,14,12,78,161,143,846
14021,1,7,8,51,190,159,975
9699,1,8,9,70,354,313,1971
10055,0,25,24,157,381,350,1951
86,0,14,13,69,482,429,2209
18227,1,13,12,67,334,304,1770
14149,1,10,11,81,1381,1226,7107
10830,0,25,20,121,416,376,2274
7788,1,9,8,51,491,418,2525
22644,0,12,10,64,169,149,934
